Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast,PV_Ratio,Relative_Strength_QQQ,Close(t+5)
2010-10-18,-0.9473665186771146,-0.9485889106048992,-0.9502122544096689,-0.9494171707913593,0.8363608427014478,-0.7250394106700493,-0.9599747169543892,-0.9631047213493334,-0.9481102403793641,-0.9614575932831521,-0.9621479002967608,-0.9658103832530689,-0.9570756685265287,-0.9566609204874156,-0.959776951175869,-0.9628906101804456,-0.9887786275054845,-0.9912670018440798,-0.9552046565913789,-0.9552046565913789,-0.9552046565913789,-0.9552046565913789,-0.9552046565913789,-0.14535470077722684,-0.13637429690553435,-0.743176207593262,0.8321569285416093,2.2737367544323206e-13,0.6500930154382976,0.9394274970634466,0.9496998838301677,0.949699883830168,1.011749358586412,-0.06234229444458728,-0.01812315285037115,2010-10-18,-1.2722570092918875,-1.2692156053493338,-1.2877054091092113,-1.2990656453840141,-1.293229645777161,-1.3041587105909884,-1.3490704643265443,-1.5330892687341309,-1.546575321079625,-1.561505373734162,-1.472286893403325,-1.4870403901240847,-1.4931071156364613,-0.9561908117001209,-0.9880439631691624,-1.0131108158435411,-0.9434569063633413
2010-10-19,-0.9535565406856488,-0.9519749261965235,-0.9572063257389445,-0.9564234864942895,1.3301576707242722,-0.7341207636028186,-0.9601681997618214,-0.9616399843586352,-0.9496608800929404,-0.9483502164714968,-0.9616289248645111,-0.9608157763801151,-0.9476272750383762,-0.9560305421276808,-0.9600953838594877,-0.9623096030727124,-0.9878773891305073,-0.9910628676766599,-0.9559462887160763,-0.9559462887160763,-0.9559462887160763,-0.9559462887160763,-0.9559462887160763,-0.15685103187991373,-0.14137250778785623,-0.7356749794411064,0.6893553641580226,2.2737367544323206e-13,-0.4648700502157243,0.19940591936667457,-0.25066502655900186,-0.25066502655900186,1.479296129589599,-0.22728673325906712,-0.047442673503087895,2010-10-19,-1.2803676406519449,-1.2724269121618428,-1.2693550648328464,-1.29336605698303,-1.291234686641247,-1.302426263419395,-1.347710125778001,-1.5646449196761734,-1.5322758523942115,-1.5540242155319162,-1.5044748321132986,-1.4712600654118222,-1.4911436158133833,-0.9561908117001209,-1.0115316102912837,-1.0415210251970777,-0.9420958924570755
2010-10-20,-0.9562790040690318,-0.9561259829678448,-0.957830278160436,-0.9564234864942895,0.6126072159296075,-0.7418727634923304,-0.9603290951731902,-0.9603847827623883,-0.9566818321294105,-0.9499041096610235,-0.9484959632317477,-0.9627122792797005,-0.9538304756263426,-0.9550230881281047,-0.9596220770979272,-0.9618090881335569,-0.9870114875148704,-0.9908652440458672,-0.9564407101325415,-0.9564407101325415,-0.9564407101325415,-0.9564407101325415,-0.9564407101325415,-0.16798676785992345,-0.14773666244129033,-0.7401982237285406,0.5413911446190806,-2.2737367544323206e-13,0.11939625754574323,0.1994059193666758,-0.25066502655900186,-0.25066502655900186,1.4322445060447866,-0.02469614626469834,-0.08048417350372648,2010-10-20,-1.2741432026314354,-1.2805496293934833,-1.2725711045513848,-1.2861465783417838,-1.2878717555264205,-1.3002630973377372,-1.346076155912222,-1.5440607709755427,-1.5638454540341913,-1.5400201598409704,-1.4792521394851104,-1.5034545803080424,-1.4763724759912609,-0.9471827515285642,-0.9802836067074232,-1.051054882980804,-0.9455915492268528
2010-10-21,-0.9507051185104213,-0.9472571722550557,-0.9509813120454605,-0.9473969447911281,3.7945914505231966,-0.7353230800866868,-0.9589674180436288,-0.9600437025995485,-0.9566818321294105,-0.9569397927136024,-0.9500528895284968,-0.9621911029103488,-0.9565587351441982,-0.9523058407692475,-0.9583628205763446,-0.9609222107852287,-0.9858311793481775,-0.9905955924528925,-0.9537473580505479,-0.9537473580505479,-0.9537473580505479,-0.9537473580505479,-0.9537473580505479,-0.15741606011712098,-0.15058243025850956,-0.7297379898795642,0.547974200389852,-2.2737367544323206e-13,0.7021865574562598,0.7842063473041656,1.0832437443405343,1.0832437443405343,1.7351163613034102,0.44294732740941906,0.12260172019592945,2010-10-21,-1.272445628625842,-1.2743159161692013,-1.2807057932512167,-1.2880464411421118,-1.2846418216873214,-1.2979946444113963,-1.3439574677130535,-1.5405545875375382,-1.543252205117522,-1.5472323325797648,-1.4717253058133046,-1.4782267345345763,-1.4766671961436315,-0.9412345721136952,-1.0553119611931565,-1.0010475649520287,-0.9465514221923245
2010-10-22,-0.9510203511127078,-0.9415335308365783,-0.9495592809453174,-0.941436561698247,4.967715706693028,-0.7099564933318909,-0.9563329489126586,-0.961740626703151,-0.9476364338002158,-0.9569397927136024,-0.9571023058165553,-0.9490024453414766,-0.9509729827629044,-0.9510134212097912,-0.9563972224656446,-0.9603075433160901,-0.9845454649506313,-0.990273114860194,-0.949955672526665,-0.949955672526665,-0.949955672526665,-0.949955672526665,-0.949955672526665,-0.1371935702070921,-0.14856314183983926,-0.7184742974965547,0.6249789226169541,-2.2737367544323206e-13,1.2344875974938916,1.0963488854276064,1.1622625825521886,1.1622625825521886,0.9582332802521748,0.34904834868546786,0.07940412466315507,2010-10-22,-1.266409809939288,-1.2726158125625788,-1.2744628926211128,-1.2696177719789303,-1.2813928882374046,-1.2962813403024727,-1.3415886023095558,-1.5358237562958286,-1.5397444716019686,-1.543231173810923,-1.4744571954439263,-1.4706983630861354,-1.4828719336561218,-0.9414204527204099,-1.06457023618968,-0.9760048226546867,-0.9488579826018906
2010-10-25,-0.937952526872469,-0.9389550587124127,-0.9407804154801478,-0.9416228236698995,0.9189291989663014,-0.6897510264258538,-0.9540332239436163,-0.9628621461760962,-0.9416635993479222,-0.9478754157746968,-0.9571023058165553,-0.9505659744495316,-0.9512888864965509,-0.9494475498504499,-0.9540856906668317,-0.9596028709675423,-0.9832071984494501,-0.9899807175949511,-0.9474902608483229,-0.9474902608483229,-0.9474902608483229,-0.9474902608483229,-0.9474902608483229,-0.12414185708401912,-0.14417511042443015,-0.722922233070546,0.7251048451107268,2.2737367544323206e-13,1.521512344085837,1.0760103549177573,0.8582535922870369,0.8582535922870367,0.9105348468458359,-0.02937048612428544,-0.04228510007738715,2010-10-25,-1.2622601845922818,-1.2665709997390322,-1.2727602833583573,-1.272847538739488,-1.2777639625711228,-1.2941181742208145,-1.3390203769463578,-1.5315626529788275,-1.5350115488680642,-1.5289076978821285,-1.4683167811349844,-1.473430810857966,-1.4670800081406894,-0.9400620944405721,-0.9878291256786494,-0.9836552914724574,-0.9526544950772634
2010-10-26,-0.9436840287322228,-0.9403576342085247,-0.9419702782374103,-0.9402616784924388,0.15724024911422255,-0.6702154006930184,-0.9517454183199813,-0.9638729371405096,-0.9418502504245564,-0.9418900494150387,-0.9480202357521854,-0.9576452867998924,-0.9381932408108439,-0.9462006695318155,-0.9521360141903126,-0.9588528303057962,-0.9818819189623856,-0.9896540369975942,-0.9453908089291653,-0.9453908089291653,-0.9453908089291653,-0.9453908089291653,-0.9453908089291653,-0.11320609313045117,-0.13834157978915146,-0.7276515614063505,0.786465765057162,-2.2737367544323206e-13,1.2139255943008915,1.1484303324629952,1.0144373822276842,1.0144373822276835,0.10552953002487073,-0.0001680802833997675,-0.06660288013021376,2010-10-26,-1.2598081332508693,-1.262415190922844,-1.2667065615352269,-1.2810169487808982,-1.2744580302887512,-1.2918210067004696,-1.3364286974702535,-1.5315291009842051,-1.5307485617247603,-1.56053030142915,-1.4672618544467857,-1.4672891420260645,-1.4992981906253318,-0.943550930443524,-0.9365643039523864,-0.9796940027112157,-0.9497462232565062
2010-10-27,-0.9417639756092053,-0.9421285628652318,-0.9433632882946935,-0.9437576724219171,0.5842295143275587,-0.6608238528736379,-0.950399570061884,-0.9640775576086035,-0.9404862617876142,-0.942077092113778,-0.9420231863128555,-0.9576452867998924,-0.943936945058961,-0.9436561285728857,-0.9503498963194702,-0.9582293818728128,-0.9807145978098096,-0.9893230709837232,-0.9451619739858405,-0.9451619739858405,-0.9451619739858405,-0.9451619739858405,-0.9451619739858405,-0.11551257497172544,-0.1341647256826921,-0.732360252458313,0.8058470848805496,2.2737367544323206e-13,1.1036021859632685,0.7434813388745315,0.6132916480643329,0.6132916480643331,0.4287753042378328,-0.10156075115829977,-0.0654852066049445,2010-10-27,-1.2571674625755016,-1.259959485713278,-1.2625446277818246,-1.2747474015398161,-1.2716080886660168,-1.2893132654907598,-1.3339855607092201,-1.5368806441264231,-1.53071499489686,-1.53990247870071,-1.4756817683832768,-1.4662339998101044,-1.4740517987649788,-0.9445089304935149,-0.9710153731785949,-1.0038610552701825,-0.9442162088584158
2010-10-28,-0.9426237008881683,-0.9439136589511926,-0.9455253559877684,-0.9447176379681262,0.1550891696924929,-0.6557554045097239,-0.9493183818595861,-0.963782214777257,-0.9439895589182865,-0.9407102416229907,-0.9422105941078346,-0.9485247003362375,-0.9420128041358419,-0.9431178602931123,-0.948712862841413,-0.9575137333194588,-0.979591372100513,-0.9890121310508707,-0.9453309074301248,-0.9453309074301248,-0.9453309074301248,-0.9453309074301248,-0.9453309074301248,-0.12218430164282354,-0.13224053020746854,-0.7366268844741352,0.7660459607409523,-2.2737367544323206e-13,0.9890549835809433,0.6341649135530453,0.5031409751588245,0.5031409751588248,-0.17606182755531846,-0.04197570605870437,-0.07030196257107955,2010-10-28,-1.2552812692359532,-1.2573148801029768,-1.2600853032911778,-1.273037525019521,-1.268378154826918,-1.2865183783410068,-1.3315658780610926,-1.5346494364840564,-1.536068903946915,-1.5363888560843746,-1.4780860652530532,-1.4746556339848105,-1.4665178928831881,-0.9468109903151349,-0.9396496438291093,-1.012253235028602,-0.9435571915985397
2010-10-29,-0.9462202183051638,-0.943899491521939,-0.9458736085020892,-0.947024420847823,0.28502264014735523,-0.6605027193077172,-0.9489148724421448,-0.962439457189488,-0.9449515298517087,-0.9442208891993287,-0.9408410756060647,-0.9425022178459512,-0.9428743597730592,-0.94424045189264,-0.9486274649853517,-0.9566707607903548,-0.9784539512827635,-0.9886999549401774,-0.9462160655737772,-0.9462160655737772,-0.9462160655737772,-0.9462160655737772,-0.9462160655737772,-0.13537771193485348,-0.1335038755116206,-0.739707724051918,0.7196475968501881,-2.2737367544323206e-13,-0.1744170879214708,0.37046476716733096,0.23845055220677475,0.238450552206775,-0.7985148703427407,-0.06900285312559382,-0.050995450646168713,2010-10-29,-1.2571674625755016,-1.2554258760956187,-1.257436799993558,-1.2669579640584712,-1.2671811793453696,-1.2837713488479277,-1.3289429264344472,-1.5355217883442298,-1.533836709891563,-1.5316479872910413,-1.4772007848160067,-1.477060422066657,-1.4692523493962422,-0.9506000949904722,-0.9523148451885528,-1.0225645616483525,-0.9409211225590357
